plastic_bottles_recycled,aluminum_cans_recycled,paper_recycled_kg,cardboard_recycled_kg,glass_bottles_recycled,reusable_bags_used,reusable_water_bottle_uses,miles_biked,miles_walked,miles_public_transit,miles_carpooled,vegetarian_meals,vegan_meals,local_food_kg,led_bulb_hours,cold_water_laundry_loads,line_dried_loads,composting_kg,co2_saved_kg
0,3,1.24,0.17,0,0,0,3.72,1.99,8.54,12.0,1,1,0.57,0.88,1,2,0.2,20.49
5,2,1.36,1.05,3,0,1,5.96,3.83,2.06,5.02,2,2,2.26,6.54,2,1,1.58,26.5
0,3,2.52,1.73,3,0,0,2.66,1.16,13.44,0.3,1,0,2.4,4.29,0,2,2.16,18.43
2,2,2.89,1.89,1,4,5,3.52,4.48,0.26,1.28,2,0,0.08,4.35,0,1,2.68,17.7
6,4,1.03,0.52,1,2,3,9.97,1.73,15.48,5.44,0,2,2.85,18.33,0,1,1.7,24.37
2,0,1.45,1.02,0,1,4,4.83,1.09,12.9,6.33,1,1,2.7,16.59,0,2,2.47,22.75
7,4,2.45,1.0,1,0,4,7.82,4.15,4.13,0.16,0,2,2.7,20.97,1,0,2.0,21.06
6,1,2.74,0.84,3,1,5,0.56,0.83,14.76,1.24,3,2,0.74,9.34,2,0,2.16,27.19
7,2,2.85,0.79,3,4,0,3.24,2.7,3.24,12.62,0,1,2.87,3.71,0,1,1.42,17.79
0,0,1.05,0.83,0,2,1,5.52,0.38,1.56,0.04,2,1,0.02,2.47,0,2,2.75,19.15
4,0,2.85,0.89,2,3,5,11.5,3.79,12.78,11.39,0,1,1.91,23.53,1,0,1.94,23.09
2,1,0.15,1.34,3,1,0,2.17,2.84,18.31,0.51,0,2,0.89,22.19,1,2,2.83,23.88
1,3,2.53,0.64,1,0,5,7.16,1.15,2.41,1.15,0,2,1.02,17.39,2,2,2.41,23.76
3,4,1.98,1.48,0,4,1,10.52,2.09,9.24,14.86,2,2,0.56,9.22,2,2,2.99,35.07
3,4,2.3,0.8,0,3,0,6.97,1.36,7.97,1.38,2,2,1.57,17.57,0,2,1.4,27.84
7,1,0.89,0.47,0,0,4,11.85,2.14,7.69,10.19,3,2,2.85,18.87,2,1,2.95,33.53
6,2,2.71,1.98,2,3,3,2.78,4.71,12.99,9.12,0,1,0.69,4.24,1,0,0.56,18.69
2,4,0.17,1.94,0,0,2,7.17,2.63,5.2,7.73,1,1,2.99,21.54,2,1,1.87,22.15
4,0,1.78,1.16,1,2,0,4.69,1.36,9.53,0.67,1,1,2.43,15.73,0,2,0.26,20.01
7,3,1.12,0.52,0,1,1,0.97,1.1,13.67,1.14,0,1,1.49,11.53,0,2,2.47,17.32
7,1,1.63,1.73,0,2,3,10.21,4.34,14.17,12.56,0,0,2.04,14.85,1,2,2.64,23.91
4,1,1.4,1.76,1,1,2,2.74,4.54,0.02,8.34,0,0,0.78,4.64,0,1,0.98,11.3
0,0,0.35,0.75,3,4,2,1.54,1.42,0.37,6.48,1,2,1.18,4.31,0,0,2.37,15.41
3,3,0.2,0.6,0,3,5,8.5,2.37,1.16,1.12,1,1,2.97,16.23,2,2,1.78,21.51
3,4,0.07,0.65,2,2,2,8.2,2.23,5.47,14.96,0,2,1.35,3.93,2,0,2.08,21.05
3,1,2.32,0.46,2,2,2,11.41,0.76,8.65,14.15,3,0,1.92,9.54,0,0,2.95,23.3
0,1,2.68,0.46,0,2,0,7.82,1.84,17.29,7.1,3,1,0.61,2.19,2,2,2.53,31.73
3,2,2.39,0.59,3,3,1,7.4,3.98,9.63,1.76,0,1,2.06,10.33,1,0,0.48,16.84
5,4,0.81,1.6,2,4,0,0.14,0.36,7.85,7.2,2,1,0.87,16.68,0,1,2.72,20.24
2,2,0.31,0.48,0,3,3,4.15,3.88,18.82,1.09,0,0,2.65,1.98,0,1,1.19,13.34
1,1,2.07,1.6,1,1,3,1.25,3.18,14.13,0.47,1,0,0.16,12.99,1,1,1.88,16.52
3,2,1.45,1.32,3,3,5,9.81,2.26,12.87,7.9,1,1,0.24,1.45,2,0,1.44,22.36
2,1,0.99,0.94,0,4,4,7.9,2.49,11.11,10.79,1,0,2.99,23.4,2,1,1.21,20.6
4,4,1.26,0.41,2,3,0,10.42,3.64,14.85,6.38,3,1,2.96,0.96,0,2,1.74,30.84
3,1,2.18,0.97,1,1,3,5.06,1.38,11.85,13.69,3,2,1.87,15.16,2,0,0.39,29.58
7,3,2.73,0.36,3,1,4,10.25,2.46,4.94,13.06,2,1,1.54,8.62,1,2,0.49,28.73
2,0,2.91,0.52,0,4,0,9.28,0.65,19.4,6.81,2,1,0.22,4.07,1,0,1.01,23.9
5,0,1.29,0.5,2,3,0,3.03,1.8,7.59,9.08,2,0,1.6,18.76,2,2,1.67,21.56
2,4,0.1,1.97,0,4,3,0.62,3.2,4.49,2.7,2,0,0.31,14.03,1,0,1.44,13.39
2,2,0.05,0.65,0,0,2,5.87,3.33,2.79,0.45,0,1,0.61,16.16,1,0,0.28,11.17
7,4,1.33,1.74,1,1,0,10.06,4.72,13.66,7.46,0,1,2.61,13.69,2,0,2.07,22.5
0,0,0.65,1.32,0,4,0,1.28,3.29,19.99,0.72,0,0,1.22,20.9,0,0,1.7,10.89
0,2,2.64,0.81,1,3,5,5.26,4.51,17.56,4.76,0,2,1.13,7.12,2,0,0.99,23.31
0,3,1.83,1.13,2,3,4,5.38,1.19,7.47,3.41,1,2,1.81,16.04,1,1,1.39,23.53
2,4,2.59,1.04,1,3,4,9.77,0.54,2.98,7.9,2,2,1.18,13.19,1,1,2.15,28.27
2,4,2.47,0.86,3,4,3,11.46,3.27,7.6,2.96,0,1,0.58,3.99,0,1,0.92,19.71
6,3,1.62,0.62,3,1,1,3.27,2.07,2.44,2.72,2,1,2.4,4.43,2,0,1.7,18.69
1,3,1.27,0.17,1,0,3,0.52,3.17,19.03,9.02,1,0,2.65,5.47,0,2,1.83,19.27
1,0,2.52,1.8,3,0,1,3.07,1.51,14.64,12.77,2,1,2.43,18.4,1,0,1.27,23.83
4,0,2.21,1.73,2,4,0,2.14,1.56,4.6,3.09,2,1,0.77,15.17,0,1,0.43,19.26
7,2,1.79,1.35,1,4,0,8.31,4.96,2.57,1.56,1,1,1.74,6.58,1,0,2.68,19.15
2,0,0.97,0.45,0,3,4,6.23,0.34,16.01,3.51,0,1,1.78,16.32,0,1,1.0,16.72
5,1,2.98,1.32,0,2,1,5.36,1.67,11.61,1.33,0,0,1.9,18.12,2,1,0.29,15.97
0,3,1.04,1.33,3,2,5,2.82,2.0,3.05,14.89,3,0,2.53,12.5,1,1,0.27,21.1
6,0,1.83,1.01,3,1,4,0.43,1.52,5.26,5.4,0,1,2.81,13.29,2,2,1.19,18.62
6,1,1.8,1.03,2,2,5,6.8,1.96,10.02,5.96,1,1,1.88,16.18,1,1,2.16,22.61
2,3,2.46,0.65,2,1,2,8.34,1.73,19.51,9.61,0,1,0.4,20.69,2,1,0.42,23.78
7,4,0.95,1.91,1,0,4,4.41,0.34,0.52,2.03,3,0,1.65,23.18,0,2,1.52,20.74
1,4,0.32,1.28,0,2,5,7.23,1.82,7.73,8.47,1,1,0.64,11.63,1,0,1.86,18.4
6,0,1.29,0.34,0,0,3,3.64,0.51,13.84,0.93,3,2,0.69,5.58,0,1,1.28,25.41
6,4,2.66,0.9,0,2,2,4.97,4.14,14.67,11.54,1,2,1.25,11.55,1,1,0.78,28.19
1,1,0.57,1.24,0,4,1,2.89,4.88,16.03,14.39,3,0,0.33,13.15,2,0,2.53,23.4
6,4,1.46,0.3,3,3,1,5.71,1.88,7.89,6.89,0,1,2.68,22.93,0,0,2.83,16.38
1,3,0.23,0.56,1,1,3,9.37,4.13,9.91,5.8,1,0,1.84,1.6,0,2,0.32,18.61
3,0,1.33,0.1,3,0,2,7.91,4.01,2.11,0.53,3,0,1.16,11.09,2,2,2.83,23.72
2,3,1.06,0.82,0,1,5,0.99,2.57,17.98,11.74,3,0,2.93,16.02,2,0,0.77,22.14
3,0,1.93,1.06,1,1,1,9.58,1.46,19.6,9.03,0,2,1.56,14.8,1,2,0.13,27.99
0,1,0.67,0.74,2,3,1,7.36,4.72,4.81,1.82,3,2,2.66,15.5,2,1,2.45,29.45
6,0,0.78,1.09,0,4,5,5.53,4.21,14.57,11.65,3,2,0.96,18.08,0,1,1.62,31.32
4,1,0.32,1.37,3,2,1,2.56,2.53,16.81,10.99,2,0,1.77,12.2,2,1,1.7,21.92
4,3,1.91,1.52,2,1,1,0.11,1.23,14.53,14.88,3,2,1.2,19.2,2,0,1.67,29.67
7,2,0.56,0.71,0,0,3,6.29,4.24,16.8,12.49,1,1,2.25,18.21,2,2,2.53,28.31
5,2,2.99,0.74,0,3,3,9.36,1.09,2.76,9.95,1,2,0.01,14.87,0,0,0.28,21.71
6,3,1.53,1.45,0,1,3,6.73,3.02,13.53,12.07,2,2,1.49,1.85,1,0,2.24,28.09
1,4,2.37,1.03,3,4,3,1.47,3.68,4.72,5.57,0,2,2.4,18.4,0,1,1.93,20.55
0,3,1.49,0.36,2,3,2,8.88,4.75,4.06,8.48,1,1,0.5,16.81,1,1,1.76,22.01
5,0,2.79,1.57,2,1,2,5.16,4.36,16.84,2.79,0,0,1.37,11.59,1,1,0.24,17.5
6,1,2.73,1.56,3,0,5,2.7,0.66,7.98,13.84,0,0,0.21,1.37,1,1,0.79,15.11
2,3,2.36,1.95,3,1,0,9.32,0.33,9.75,0.5,3,1,2.72,3.34,1,0,2.32,25.05
5,1,2.2,1.1,3,4,1,9.93,3.94,12.49,7.42,0,1,0.43,17.4,0,0,1.39,19.55
0,4,1.83,0.7,0,0,1,8.64,2.09,1.78,10.26,0,0,2.94,5.46,1,2,0.2,16.33
5,0,1.63,0.16,1,1,0,5.14,0.7,13.28,3.24,1,1,2.59,11.04,2,1,0.87,20.19
6,3,1.07,1.96,2,0,4,1.98,1.65,15.14,7.79,3,0,1.98,3.88,1,2,2.84,26.0
7,1,2.25,1.12,1,0,5,4.12,1.41,7.81,11.98,2,2,2.47,9.13,2,0,2.89,27.05
7,3,1.57,0.57,3,0,3,3.32,1.56,12.85,2.94,1,1,0.47,16.7,1,2,1.84,22.76
4,2,2.69,0.34,1,0,3,2.42,0.92,17.88,9.81,2,0,1.32,14.77,1,2,2.65,24.44
3,2,1.52,1.93,2,4,4,8.02,3.17,3.32,13.23,2,2,0.49,0.3,0,2,1.58,29.85
0,3,2.67,0.16,0,2,4,4.04,1.48,18.36,1.66,3,0,1.41,19.72,0,0,0.76,19.77
5,2,2.64,1.05,3,4,3,9.91,0.5,4.8,2.13,0,2,1.35,17.97,0,2,1.86,24.31
5,0,2.52,0.94,2,2,2,0.37,3.7,2.13,4.72,3,2,0.52,20.54,0,2,0.84,27.66
6,2,2.08,1.03,1,4,2,9.16,2.04,15.18,13.55,0,2,2.42,1.42,2,1,1.95,27.83
5,2,0.0,0.34,1,3,4,6.56,1.9,19.54,1.66,3,0,0.13,17.76,1,1,0.84,22.34
7,0,0.88,1.82,1,2,0,10.07,4.91,12.43,8.39,3,2,1.6,15.24,1,1,0.36,32.9
3,0,0.73,0.02,3,3,0,9.89,0.37,4.53,10.95,0,2,2.71,20.45,0,0,1.78,18.47
0,4,2.51,0.57,3,2,2,11.95,4.28,10.43,0.95,3,0,1.8,2.76,0,0,2.73,22.92
3,2,2.49,1.76,0,4,3,10.93,2.32,2.75,5.11,3,0,0.51,22.75,1,0,2.11,22.33
3,3,0.31,0.77,0,2,5,3.15,1.36,9.46,14.76,3,2,1.22,21.4,1,0,0.12,26.06
5,1,2.72,0.48,1,0,0,3.98,2.41,3.92,9.16,0,0,1.55,0.13,1,0,0.66,10.59
2,3,0.32,0.68,0,4,0,2.62,1.98,0.89,4.17,3,0,0.85,19.64,0,2,2.64,19.07
6,0,0.09,1.35,1,2,2,1.58,1.37,7.89,6.33,3,0,2.14,14.59,0,0,2.16,16.17
3,1,2.16,1.73,1,4,0,7.25,3.43,2.29,5.76,2,1,0.28,14.31,0,0,1.21,19.93
2,0,2.83,1.34,0,1,1,10.66,2.99,10.04,2.08,0,0,0.46,4.12,1,2,2.22,19.32
4,2,1.6,0.28,0,0,5,6.39,2.24,1.69,5.99,0,0,2.42,5.19,0,2,2.45,14.47
5,3,1.16,1.7,3,2,4,3.3,1.53,15.78,6.7,1,2,1.35,13.9,0,2,0.3,26.62
2,1,1.11,0.05,3,0,1,2.0,2.15,2.85,13.35,0,2,0.46,0.61,1,2,1.02,20.21
6,2,1.23,0.62,1,4,1,10.1,2.9,11.19,1.58,0,0,2.92,5.48,2,2,2.89,19.99
3,1,0.12,0.06,3,2,1,4.75,1.57,2.94,7.32,1,0,2.51,8.89,0,2,2.67,15.37
3,1,2.48,1.97,0,2,5,4.67,1.93,6.81,8.12,0,0,1.66,13.0,1,0,2.5,13.8
2,2,0.91,0.52,2,1,0,6.09,3.39,4.7,12.46,3,2,0.5,13.99,0,2,0.45,29.76
1,2,0.62,1.56,2,3,1,7.48,2.85,12.41,3.02,0,0,1.43,13.03,2,2,2.89,19.39
4,1,2.17,1.07,3,4,5,9.49,0.62,15.88,4.14,1,1,2.83,3.57,2,1,2.94,25.62
3,3,2.59,1.18,1,3,5,6.27,2.81,8.82,9.09,3,0,1.09,17.42,0,1,1.37,23.98
3,2,1.81,1.18,2,4,2,2.41,0.55,17.08,6.59,0,0,2.68,1.5,1,2,1.34,17.42
4,4,2.78,0.04,3,4,5,8.67,3.46,2.69,4.49,3,1,1.0,17.59,1,0,2.38,25.22
2,2,0.6,1.99,3,2,0,4.1,3.16,1.38,0.08,3,0,2.47,19.42,0,2,1.84,20.8
7,0,2.17,0.56,3,2,2,6.59,3.16,11.54,10.47,0,0,0.3,20.85,1,0,1.5,15.4
1,3,2.12,0.1,1,1,4,8.0,1.06,17.27,6.02,2,1,0.46,6.39,1,0,1.75,23.1
6,0,1.65,0.44,0,4,2,4.29,3.24,2.46,13.33,2,1,1.36,19.71,1,1,0.73,22.32
3,3,0.91,0.58,1,3,4,11.0,3.6,8.03,2.38,1,1,2.47,17.32,0,0,0.95,18.88
6,0,1.53,0.09,3,0,1,5.6,1.7,18.81,1.24,3,2,2.48,3.12,0,2,2.6,31.56
3,3,2.72,1.89,2,0,5,4.53,4.82,1.79,10.31,1,0,1.16,15.19,2,1,0.42,19.47
4,4,2.63,0.37,3,3,2,11.41,3.51,5.96,1.58,2,2,1.93,1.16,0,1,2.87,28.52
3,0,1.43,0.22,3,2,3,0.03,4.29,3.72,8.28,3,2,2.16,8.91,1,2,2.19,28.83
5,0,2.39,1.51,0,1,0,1.64,3.26,14.77,4.73,3,0,2.05,11.24,0,0,0.86,19.33
2,4,0.17,0.22,1,4,3,1.2,3.44,4.84,13.67,1,1,2.13,22.77,2,0,2.21,18.01
5,0,2.72,0.53,0,2,0,11.56,2.6,13.55,4.68,3,2,0.66,3.16,2,1,0.05,32.47
2,0,0.36,0.53,3,4,0,9.28,2.59,6.96,5.58,3,2,1.99,13.16,2,2,0.07,31.22
2,0,1.82,0.58,0,2,3,10.79,3.55,18.75,9.05,0,2,0.18,16.12,1,0,0.72,24.12
7,3,1.63,1.93,3,0,0,2.7,0.98,2.82,9.34,1,2,1.73,3.53,0,2,0.49,23.44
2,2,2.43,1.89,1,3,0,10.68,3.54,1.24,2.21,0,0,1.34,3.22,1,1,1.59,15.39
6,4,2.85,1.92,1,1,5,6.56,2.16,0.88,2.49,0,0,0.15,20.25,2,0,1.58,13.61
6,3,1.98,0.22,3,2,3,11.94,3.56,19.62,8.54,2,0,1.31,14.25,2,1,1.87,27.78
1,3,2.49,1.46,0,1,0,11.52,2.61,19.55,11.36,0,1,1.43,17.24,2,1,1.92,26.71
6,0,0.49,1.13,1,4,5,7.24,4.18,15.69,5.65,3,1,2.41,1.11,1,1,1.54,27.86
7,2,0.76,0.49,0,2,3,7.95,0.59,5.78,5.97,2,1,2.98,1.08,0,2,1.12,22.8
3,3,2.26,1.84,0,2,1,4.29,3.94,5.02,8.46,2,1,1.97,5.77,1,1,2.75,24.45
3,1,2.52,1.5,0,1,0,2.1,4.33,5.65,14.26,0,2,1.69,10.26,1,2,0.85,24.59
3,1,2.68,0.84,3,1,3,5.97,1.02,11.82,2.79,2,2,0.1,15.27,2,1,2.82,28.87
4,0,1.23,1.62,3,4,3,8.32,3.86,13.09,2.27,0,0,1.62,6.78,2,0,0.11,14.8
5,4,2.3,0.0,0,3,5,4.35,3.62,4.01,3.05,0,0,1.31,21.19,1,2,0.57,15.6
3,2,1.99,1.48,0,4,1,3.64,1.63,14.25,12.25,1,0,1.11,21.65,1,2,0.66,21.57
5,4,1.63,0.3,3,2,1,8.51,0.84,15.61,8.76,2,1,1.45,8.68,2,0,0.39,24.18
4,0,1.54,1.02,3,0,0,5.39,0.8,3.6,1.47,1,0,0.37,3.0,0,1,1.03,12.22
1,2,0.16,0.28,1,3,3,1.89,0.59,15.29,10.07,0,2,1.65,7.49,1,2,1.52,22.2
7,3,1.15,0.05,3,2,5,8.44,4.85,8.75,3.52,2,0,2.45,13.11,0,2,1.29,22.83
4,2,1.45,0.24,3,2,2,4.76,0.66,17.31,2.36,3,2,0.95,19.59,0,0,0.21,25.64
5,2,2.55,1.96,2,1,3,8.09,0.26,10.98,4.31,2,0,1.06,14.91,0,0,2.2,19.2
5,4,0.21,1.57,1,1,0,8.23,1.66,1.13,5.61,3,0,1.93,16.12,2,2,0.6,23.45
2,4,0.3,0.56,1,1,0,11.76,0.34,10.37,2.69,1,1,0.34,9.69,0,1,2.11,19.74
0,0,1.04,0.8,2,2,1,6.2,3.7,12.61,8.24,1,1,0.43,14.29,2,0,2.78,20.9
3,2,1.29,1.39,2,3,2,7.78,1.34,0.3,14.48,2,2,2.03,16.96,1,0,1.58,25.03
2,3,0.01,0.35,2,1,0,1.86,4.72,14.73,13.24,2,1,1.88,8.97,0,0,0.05,19.77
3,0,1.63,1.88,1,3,0,10.08,0.94,13.45,14.66,0,1,0.02,10.41,2,2,0.25,24.87
0,3,2.58,1.63,2,0,2,0.11,2.95,12.27,9.57,1,1,2.14,2.19,0,0,2.63,18.71
7,3,0.04,0.5,0,4,2,2.97,0.31,9.18,10.99,1,0,2.02,1.95,2,1,2.65,16.18
6,2,1.48,0.57,3,2,1,6.16,1.27,19.75,4.37,1,1,1.28,4.95,2,0,1.0,20.96
3,3,2.75,1.72,1,2,4,4.94,4.37,12.76,12.5,3,1,1.95,22.47,1,1,1.5,31.07
7,2,1.8,0.4,1,4,2,5.89,4.64,2.11,11.47,1,1,1.97,6.25,1,0,0.48,18.34
4,0,0.56,1.33,2,2,4,9.92,2.23,16.12,0.12,3,2,1.55,12.85,0,0,1.06,27.58
3,0,2.48,0.43,2,4,3,7.59,1.87,5.43,3.48,0,0,2.71,1.86,0,2,1.05,15.25
0,4,2.03,1.68,2,2,5,5.27,3.05,3.21,10.1,0,1,1.15,11.75,0,0,2.22,16.23
4,1,1.6,1.58,1,0,5,0.23,0.83,17.82,3.62,1,2,0.32,5.34,0,1,1.82,22.42
5,2,1.01,1.5,3,2,4,4.98,3.77,17.43,10.18,3,2,2.26,4.89,1,2,1.64,35.26
0,1,0.07,1.89,3,0,4,1.41,1.69,2.86,10.38,2,0,1.18,21.5,2,1,1.52,17.63
4,0,0.05,1.59,0,2,4,4.9,4.43,4.44,10.72,3,0,2.19,16.73,0,0,2.46,19.07
7,0,1.46,0.67,0,4,2,9.85,2.02,9.69,0.2,1,1,1.94,0.37,1,1,1.44,20.43
6,0,2.23,1.7,3,0,0,0.89,1.88,16.08,6.5,3,0,1.68,7.71,2,2,1.05,25.91
7,2,2.12,0.75,3,3,2,7.88,3.54,0.17,3.27,1,0,1.12,15.17,1,0,0.31,13.98
7,0,1.74,0.85,1,4,4,4.2,3.39,15.17,0.22,2,0,1.16,15.9,2,1,2.25,21.62
0,2,1.3,1.55,1,4,4,7.59,0.78,9.48,10.75,1,2,0.56,14.39,1,1,2.61,26.14
1,3,2.24,1.12,1,1,1,4.59,4.11,13.19,11.94,3,1,2.08,6.34,1,2,1.91,31.26
0,4,2.48,0.93,1,4,2,7.14,1.32,13.24,12.22,3,2,2.95,18.88,1,0,2.24,31.4
0,3,0.65,0.93,1,4,4,10.66,4.12,12.6,12.87,3,1,1.29,4.83,2,0,1.31,28.29
4,1,2.53,0.5,1,4,5,1.14,4.99,6.53,11.22,3,0,2.57,23.94,2,2,0.12,25.91
4,4,0.39,0.04,2,4,2,4.87,0.07,1.6,4.68,1,1,0.05,22.0,0,2,2.51,18.25
2,1,1.69,1.25,0,4,1,4.69,0.35,12.77,11.0,1,1,0.42,13.89,2,2,2.78,25.12
5,1,1.03,1.06,2,4,2,5.32,2.47,17.22,6.92,1,0,1.51,22.78,0,1,1.09,18.61
5,1,0.33,1.85,3,4,0,7.73,4.87,1.4,8.32,0,2,1.8,4.3,1,1,1.74,21.74
